label,task,prime,lr,wd,seed,ordering,regime,step,K,K_topcut,base_acc,top_K_harmonics,bot_K_harmonics,alt_K_harmonics_examples,acc_I2_top,acc_I2_alt_mean,acc_I2_alt_std,acc_I2_bot,acc_I3_random_subspace_mean,i2_top_drop,i2_alt_drop,i2_bot_drop,i3_random_subspace_drop,selectivity_top_vs_alt,source
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,pre_all,5000,3,10,0.00813421453990849,"12,5,14","19,21,17","4,16,22; 2,18,23; 2,20,26",0.004575495678698526,0.013421453990849009,0.0018358383411558503,0.014743263853584139,0.012302999491611592,0.0035587188612099642,-0.0052872394509405184,-0.0066090493136756485,-0.004168784951703102,inf,original
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,between_circ_gen,10000,3,10,0.11896288764616167,"12,5,1","21,19,17","7,15,23; 3,11,13; 3,4,13",0.018301982714794104,0.14021352313167262,0.008143106476939884,0.1392984239959329,0.1260803253685816,0.10066090493136756,-0.021250635485510955,-0.020335536349771227,-0.007117437722419934,inf,original
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,between_gen_F,18500,3,10,0.9913573970513472,"1,9,12","15,3,19","7,10,23; 8,10,25; 4,7,20",0.2730045754956787,0.9929842399593289,0.0007471753155414227,0.9933909506863243,0.9890188103711235,0.7183528215556685,-0.0016268429079817626,-0.0020335536349771477,0.0023385866802236865,inf,original
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,post_all,30000,3,10,1.0,"1,9,12","20,19,17","8,16,25; 13,23,25; 2,4,18",0.9079816980172852,1.0,0.0,1.0,1.0,0.09201830198271477,0.0,0.0,0.0,inf,original
coincident,add,53,0.0016,3.1075,2025,C<G<F,pre_all,4000,3,10,0.028978139298423997,"15,22,4","19,7,23","1,17,18; 9,11,16; 6,10,12",0.0020335536349771225,0.03884087442806304,0.0006896115895399349,0.03507880020335536,0.03436705643111337,0.026944585663446874,-0.009862735129639044,-0.006100660904931363,-0.00538891713268937,inf,original
coincident,add,53,0.0016,3.1075,2025,C<G<F,between_circ_gen,9000,3,10,0.6232841891204881,"15,4,22","7,9,23","12,16,17; 10,11,20; 6,8,11",0.041179461108286734,0.6546009150991358,0.006989924653705001,0.6365022877478393,0.6251143873919675,0.5821047280122014,-0.03131672597864765,-0.013218098627351238,-0.001830198271479344,inf,original
coincident,add,53,0.0016,3.1075,2025,C<G<F,between_gen_F,14500,3,10,0.9938993390950687,"15,4,22","17,20,26","6,18,19; 10,13,23; 3,13,18",0.8286731062531775,0.9942043721403152,0.000406710726995424,0.9938993390950687,0.9934926283680732,0.1652262328418912,-0.00030503304524653885,0.0,0.00040671072699549615,inf,original
coincident,add,53,0.0016,3.1075,2025,C<G<F,post_all,22500,3,10,1.0,"22,15,4","9,18,20","11,17,26; 10,21,24; 10,12,19",0.9984748347737672,1.0,0.0,1.0,1.0,0.0015251652262328053,0.0,0.0,0.0,inf,original
FG_slow,add,53,0.0005,2.5,42,C<F<G,pre_all,16000,3,10,0.026436197254702594,"6,7,23","2,20,10","1,13,19; 1,18,22; 14,18,24",0.020843924758515507,0.02745297407219115,0.0024061331095473776,0.027961362480935434,0.02358922216573462,0.005592272496187087,-0.0010167768174885565,-0.00152516522623284,0.0028469750889679735,inf,original
FG_slow,add,53,0.0005,2.5,42,C<F<G,between_circ_F,37000,3,10,0.10574478901881038,"5,6,15","20,18,2","8,10,19; 8,9,22; 11,13,16",0.08235892221657347,0.13014743263853584,0.00341794332770139,0.11845449923741738,0.10371123538383327,0.023385866802236907,-0.024402643619725467,-0.012709710218607007,0.002033553634977106,inf,original
FG_slow,add,53,0.0005,2.5,42,C<F<G,between_F_gen,43000,3,10,0.22318251143873918,"5,6,12","20,18,2","11,16,24; 9,13,16; 1,8,17",0.1128622267412303,0.2562277580071174,0.006706103690021828,0.23487544483985764,0.21901372648703613,0.11032028469750889,-0.033045246568378206,-0.01169293340111846,0.004168784951703058,inf,original
FG_slow,add,53,0.0005,2.5,42,C<F<G,post_all,48000,3,10,0.5119471276054905,"12,5,23","20,18,2","7,8,10; 4,8,24; 13,19,24",0.12302999491611591,0.543467208947636,0.031830149145904464,0.5236400610066091,0.4864260294865277,0.38891713268937467,-0.031520081342145456,-0.011692933401118544,0.02552109811896286,inf,original
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,pre_all,3000,3,10,0.04067107269954245,"12,10,6","17,22,2","15,19,21; 20,23,26; 15,23,25",0.006100660904931368,0.05155058464667005,0.0031927439691118637,0.045246568378240974,0.046365022877478394,0.03457041179461108,-0.0108795119471276,-0.004575495678698527,-0.005693950177935947,inf,original
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,between_gen_circ,7000,3,10,0.7976614133197764,"10,6,12","17,2,19","8,16,22; 15,16,22; 1,4,18",0.11184544992374174,0.8188103711235384,0.008720602599854204,0.8093543467208948,0.7849517031011692,0.6858159633960346,-0.021148957803762025,-0.011692933401118433,0.012709710218607118,inf,original
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,between_circ_F,10000,3,10,0.9984748347737672,"6,3,10","16,19,2","4,20,22; 9,21,22; 1,13,15",0.5922724961870869,0.9986781901372648,0.00024905843851377133,0.9974580579562786,0.9896288764616166,0.4062023385866803,-0.00020335536349758154,0.0010167768174885738,0.008845958312150626,inf,original
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,post_all,13500,3,10,1.0,"6,10,14","2,17,16","11,18,21; 4,13,19; 7,19,23",0.9405185561769192,1.0,0.0,1.0,0.9996949669547535,0.05948144382308085,0.0,0.0,0.00030503304524653885,inf,original
strong_CGF,add,53,0.0016,2.7591,7,C<G<F,pre_all,5000,3,10,0.010676156583629894,"12,24,5","17,19,21","3,7,18; 7,8,10; 8,13,23",0.003050330452465684,0.01392984239959329,0.0018358383411558499,0.012201321809862735,0.011896288764616165,0.00762582613116421,-0.0032536858159633968,-0.0015251652262328417,-0.0012201321809862716,inf,original
strong_CGF,add,53,0.0016,2.7591,7,C<G<F,between_circ_gen,11000,3,10,0.9034062023385867,"9,5,11","21,4,19","2,10,23; 7,10,25; 2,13,20",0.2841891204880529,0.9190645653279106,0.0042095051437690606,0.9125571936959838,0.8817488561260804,0.6192170818505338,-0.015658362989323882,-0.009150991357397054,0.021657346212506257,inf,original
strong_CGF,add,53,0.0016,2.7591,7,C<G<F,between_gen_F,15500,3,10,0.9959328927300457,"9,11,12","6,19,20","2,4,25; 4,7,25; 4,7,25",0.8439247585155059,0.9959328927300458,1.1102230246251565e-16,0.9959328927300457,0.9948144382308083,0.15200813421453985,-1.1102230246251565e-16,0.0,0.0011184544992374201,inf,original
strong_CGF,add,53,0.0016,2.7591,7,C<G<F,post_all,20500,3,10,1.0,"9,16,5","13,15,25","17,18,19; 4,18,19; 3,8,20",0.9877986781901372,1.0,0.0,1.0,0.9984748347737671,0.012201321809862775,0.0,0.0,0.0015251652262329163,inf,original
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,pre_all,4000,3,10,0.018810371123538384,"22,15,4","17,7,23","19,20,24; 10,12,18; 16,18,25",0.0035587188612099642,0.021657346212506354,0.0025235736951684518,0.027961362480935434,0.019013726487036094,0.01525165226232842,-0.00284697508896797,-0.00915099135739705,-0.0002033553634977099,inf,expansion
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,between_circ_gen,12000,3,10,0.6441281138790036,"22,15,4","16,19,7","9,18,26; 10,11,23; 11,12,23",0.062023385866802234,0.6549059481443823,0.004294603372027032,0.6502287747839349,0.614133197763091,0.5821047280122014,-0.010777834265378705,-0.006100660904931332,0.02999491611591254,inf,expansion
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,between_gen_F,26000,3,10,0.9893238434163701,"5,3,15","26,19,7","12,13,21; 2,12,14; 10,16,21",0.3675648195221149,0.9918657854600916,0.0007189697825994472,0.9903406202338587,0.9841382816471785,0.6217590238942552,-0.00254194204372149,-0.0010167768174885738,0.0051855617691916045,inf,expansion
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,post_all,43000,3,10,1.0,"3,15,22","2,18,7","13,14,23; 11,12,14; 16,19,21",0.8088459583121504,0.9998983223182512,0.0002033553634976926,1.0,0.9993899339095069,0.19115404168784955,0.00010167768174884628,0.0,0.0006100660904930777,1880.0000000001824,expansion
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,pre_all,5500,3,10,0.00864260294865277,"19,24,9","20,2,5","15,17,18; 1,3,10; 11,13,22",0.006100660904931368,0.013421453990849009,0.0013489068796564924,0.011692933401118455,0.01392984239959329,0.0025419420437214025,-0.0047788510421962384,-0.003050330452465685,-0.00528723945094052,inf,expansion
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,between_circ_gen,14500,3,10,0.9557702084392475,"7,24,9","15,20,25","13,16,22; 5,17,23; 3,8,23",0.3802745297407219,0.959735638027453,0.0010856205645176488,0.9572953736654805,0.939908490086426,0.5754956786985257,-0.003965429588205449,-0.0015251652262329163,0.015861718352821574,inf,expansion
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,between_gen_F,25000,3,10,0.9822064056939501,"7,9,24","23,5,15","2,3,8; 16,22,25; 8,13,25",0.9211997966446365,0.9824097610574478,0.0006896115895399215,0.9816980172852059,0.9805795627859684,0.061006609049313654,-0.00020335536349769257,0.0005083884087442314,0.0016268429079817626,inf,expansion
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,post_all,38000,3,10,0.9954245043213015,"21,9,24","5,15,25","13,16,23; 2,3,10; 10,12,17",0.9816980172852059,0.9953228266395527,0.00020335536349769257,0.9954245043213015,0.994306049822064,0.01372648703609558,0.00010167768174873526,0.0,0.0011184544992374201,135.0000000001605,expansion
lr_low_GF,add,53,0.0009259,2.5,42,G<F,pre_known_events,11000,3,10,0.09150991357397051,"19,3,14","22,20,10","5,15,18; 11,18,26; 8,21,26",0.01677681748856126,0.11072699542450433,0.005355239077687319,0.10472801220132182,0.0938485002541942,0.07473309608540925,-0.01921708185053382,-0.013218098627351307,-0.0023385866802236865,inf,expansion
lr_low_GF,add,53,0.0009259,2.5,42,G<F,between_gen_F_partial,25000,3,10,0.8998474834773768,"24,7,19","4,10,5","2,16,22; 15,16,20; 6,18,21",0.4107778342653787,0.9055414336553127,0.002519473653963188,0.9034062023385867,0.8652770716827656,0.489069649211998,-0.005693950177935947,-0.003558718861209953,0.03457041179461118,inf,expansion
lr_low_GF,add,53,0.0009259,2.5,42,G<F,post_known_events,31000,3,10,1.0,"19,24,7","10,22,20","5,17,18; 9,16,18; 2,6,26",0.9354346720894764,1.0,0.0,1.0,0.9990849008642604,0.0645653279105236,0.0,0.0,0.0009150991357396165,inf,expansion
mul_GF,mul,53,0.0016,2.4497,42,G<F,pre_known_events,4000,3,10,0.06354855109303507,"5,11,18","22,6,25","2,3,4; 1,3,14; 14,15,19",0.062023385866802234,0.0604982206405694,0.003341469593320791,0.059481443823080835,0.06090493136756482,0.00152516522623284,0.003050330452465673,0.00406710726995424,0.002643619725470253,0.5000000000000011,expansion
mul_GF,mul,53,0.0016,2.4497,42,G<F,between_gen_F_partial,11000,3,10,0.9755973563802746,"9,26,1","8,23,3","2,16,20; 6,21,22; 2,15,22",0.9501779359430605,0.9561769191662431,0.007185382712376103,0.9557702084392475,0.9477376715810879,0.025419420437214013,0.019420437214031416,0.019827147941027023,0.027859684799186657,1.3089005235602156,expansion
mul_GF,mul,53,0.0016,2.4497,42,G<F,post_known_events,15500,3,10,0.9944077275038129,"1,26,21","20,3,15","4,22,24; 8,22,24; 6,10,23",0.9893238434163701,0.9916624300965939,0.0017493289816049975,0.9938993390950687,0.9846466700559227,0.005083884087442758,0.0027452974072189607,0.0005083884087442314,0.009761057447890242,1.8518518518519387,expansion
p97_GF,add,97,0.0016,2.4497,42,G<F,pre_known_events,1000,3,10,0.003491726127220282,"45,23,9","39,32,20","14,25,30; 17,22,25; 10,31,38",0.0022772126916654014,0.003977531501442234,0.00037679288434768035,0.0039471686655533625,0.0038864429937756186,0.0012145134355548808,-0.0004858053742219522,-0.0004554425383330803,-0.0003947168665553364,inf,expansion
p97_GF,add,97,0.0016,2.4497,42,G<F,between_gen_F_partial,16500,3,10,1.0,"2,23,18","41,34,31","7,29,47; 20,32,46; 20,30,35",0.996204645513891,1.0,0.0,1.0,1.0,0.003795354486109015,0.0,0.0,0.0,inf,expansion
p97_GF,add,97,0.0016,2.4497,42,G<F,post_known_events,37500,3,10,1.0,"23,2,18","1,21,43","16,25,36; 15,46,48; 34,35,42",1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,expansion
wd_high_GF,add,53,0.0016,3.1075,42,G<F,pre_known_events,6000,3,10,0.02440264361972547,"3,19,14","25,22,2","16,20,26; 8,17,18; 8,11,18",0.005592272496187087,0.03599389933909507,0.002735866608454239,0.031011692933401117,0.03202846975088968,0.018810371123538384,-0.011591255719369597,-0.006609049313675647,-0.00762582613116421,inf,expansion
