label,task,prime,lr,wd,seed,ordering,tau_circ,tau_gen,tau_F,regime,step,saved_test_acc,base_acc,acc_I1_keep_fourier,acc_I2_remove_fourier,acc_I3_random_ctrl_mean,acc_I3_random_ctrl_std,frac_logit_energy_in_topK_fourier,top_k_harmonics,acc_I4_remove_emb_fourier,source
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,pre_known_events,11000,0.09150991588830948,0.09150991357397051,0.3177427554651754,0.01677681748856126,0.09832231825114388,0.004775604907297359,0.27689590434292133,"19,3,14",0.02541942043721403,expansion
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,between_gen_F_partial,25000,0.8998475074768066,0.8998474834773768,0.43924758515505846,0.4107778342653787,0.8605998983223182,0.009158896207331839,0.49370061358904854,"24,7,19",0.019318759532282664,expansion
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,post_known_events,31000,1.0,1.0,0.9064565327910523,0.9354346720894764,0.9995932892730046,0.00020335536349769257,0.5216727524809234,"19,24,7",0.022369089984748347,expansion
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,pre_known_events,4000,0.06354855000972748,0.06354855109303507,0.031011692933401117,0.062023385866802234,0.06283680732079308,0.002974832503981251,0.15505454545704775,"5,11,18",0.05083884087442806,expansion
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,between_gen_F_partial,11000,0.9755973815917969,0.9755973563802746,0.12201321809862735,0.9501779359430605,0.9478393492628368,0.007800739310144003,0.13562927462577595,"9,26,1",0.07727503812913065,expansion
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,post_known_events,15500,0.9944077134132385,0.9944077275038129,0.0813421453990849,0.9893238434163701,0.9865785460091508,0.00530870461909777,0.1290779671879898,"1,26,21",0.14641586171835283,expansion
p97_GF,add,97,0.0016,2.4497,42,G<F,,2500.0,30500.0,pre_known_events,1000,0.0034917262382805347,0.003491726127220282,0.023986640352208898,0.0022772126916654014,0.004250797024442083,0.0003184481093578721,0.13519618414116272,"45,23,9",0.006983452254440564,expansion
p97_GF,add,97,0.0016,2.4497,42,G<F,,2500.0,30500.0,between_gen_F_partial,16500,1.0,1.0,0.9992409291027782,0.996204645513891,1.0,0.0,0.5495764180682206,"2,23,18",0.09230302110217094,expansion
p97_GF,add,97,0.0016,2.4497,42,G<F,,2500.0,30500.0,post_known_events,37500,1.0,1.0,0.9966600880522241,1.0,1.0,0.0,0.5418633230434153,"23,2,18",0.010323364202216486,expansion
wd_high_GF,add,53,0.0016,3.1075,42,G<F,,12000.0,24500.0,pre_known_events,6000,0.024402644485235214,0.02440264361972547,0.22928317234367057,0.005592272496187087,0.029384850025419417,0.002697813759312984,0.247469432413863,"3,19,14",0.020843924758515507,expansion
wd_high_GF,add,53,0.0016,3.1075,42,G<F,,12000.0,24500.0,between_gen_F_partial,18000,0.9857650995254517,0.9857651245551602,0.9562785968479919,0.5887137773258769,0.9779359430604982,0.002701643163311944,0.5172489231789584,"19,3,23",0.022369089984748347,expansion
wd_high_GF,add,53,0.0016,3.1075,42,G<F,,12000.0,24500.0,post_known_events,27500,1.0,1.0,0.99644128113879,0.9969496695475343,1.0,0.0,0.5312777601711132,"19,12,23",0.01728520589730554,expansion
wd_low_GF,add,53,0.0016,1.5223,42,G<F,,14000.0,21500.0,pre_known_events,7000,0.021352313458919525,0.021352313167259787,0.1235383833248602,0.006100660904931368,0.025012709710218607,0.0015217721959426304,0.25166338959806056,"24,7,3",0.012709710218607015,expansion
wd_low_GF,add,53,0.0016,1.5223,42,G<F,,14000.0,21500.0,between_gen_F_partial,18000,0.9171326756477356,0.9171326893746823,0.547025927808846,0.36603965429588203,0.8865277071682766,0.007911281612171596,0.5655805814589828,"19,24,7",0.21657346212506354,expansion
wd_low_GF,add,53,0.0016,1.5223,42,G<F,,14000.0,21500.0,post_known_events,23500,0.9898322224617004,0.9898322318251144,0.8154550076258261,0.800711743772242,0.9881037112353839,0.0004067107269954296,0.5505651634750559,"24,7,19",0.3431621759023894,expansion
