label,task,prime,lr,wd,seed,ordering,tau_circ,tau_gen,tau_F,regime,step,saved_test_acc,site,K,top_harmonics,base_acc,acc_ablate_fourier,acc_random_ctrl_mean,acc_random_ctrl_std,frac_energy_removed
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,post_all,30000,1.0,mlp_L1,3,"24,9,5",1.0,0.38993390950686324,0.9495678698525675,0.00584447701604469,0.6142775334306011
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,post_all,30000,1.0,resid_final,3,"1,9,12",1.0,0.7595322826639552,0.8622267412303,0.0031503677447543765,0.5084072091415384
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,pre_all,4000,0.0289781391620636,embed,3,"25,1,5",0.028978139298423997,0.03762074224707677,0.025521098118962887,0.0029009339334391676,0.13087690764797363
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,pre_all,4000,0.0289781391620636,attn_L0,3,"4,22,5",0.028978139298423997,0.026436197254702594,0.022267412302999494,0.002236908998474835,0.24942426486047617
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,pre_all,4000,0.0289781391620636,mlp_L0,3,"23,25,12",0.028978139298423997,0.007625826131164209,0.006914082358922216,0.0008260333914220599,0.1612350272164909
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,pre_all,4000,0.0289781391620636,attn_L1,3,"15,22,4",0.028978139298423997,0.010676156583629894,0.017996949669547534,0.0010468358048792068,0.3280640689375177
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,pre_all,4000,0.0289781391620636,mlp_L1,3,"15,4,22",0.028978139298423997,0.005083884087442806,0.024809354346720897,0.0023275085190156784,0.2766470231633083
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,pre_all,4000,0.0289781391620636,resid_final,3,"15,4,22",0.028978139298423997,0.004067107269954245,0.045754956786985254,0.002612146940247102,0.3052117098231981
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_circ_gen,9000,0.6232841610908508,embed,3,"25,1,5",0.6232841891204881,0.22114895780376206,0.11977630910015251,0.004599159279267368,0.14452980666364496
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_circ_gen,9000,0.6232841610908508,attn_L0,3,"5,22,25",0.6232841891204881,0.5083884087442806,0.5101169293340112,0.006289239285894089,0.27917195998214944
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_circ_gen,9000,0.6232841610908508,mlp_L0,3,"25,1,18",0.6232841891204881,0.020843924758515507,0.0224707676664972,0.002457152206119892,0.16462715032919786
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_circ_gen,9000,0.6232841610908508,attn_L1,3,"15,5,4",0.6232841891204881,0.03965429588205389,0.1661413319776309,0.010976481319424993,0.5006133596039823
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_circ_gen,9000,0.6232841610908508,mlp_L1,3,"4,15,22",0.6232841891204881,0.044738179969496694,0.2661921708185053,0.0025842938540190934,0.4351322237551121
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_circ_gen,9000,0.6232841610908508,resid_final,3,"5,15,4",0.6232841891204881,0.06456532791052363,0.5086934417895271,0.0077408708940210555,0.4407264661614572
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_gen_F,14500,0.9938993453979492,embed,3,"25,14,1",0.9938993390950687,0.8291814946619217,0.35953228266395526,0.004354369721477141,0.22298935826190502
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_gen_F,14500,0.9938993453979492,attn_L0,3,"25,14,17",0.9938993390950687,0.9064565327910523,0.9538383324860193,0.003685728309179835,0.7713826157594563
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_gen_F,14500,0.9938993453979492,mlp_L0,3,"25,14,1",0.9938993390950687,0.06659888154550077,0.08530757498729029,0.00535523907768732,0.23338084413774973
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_gen_F,14500,0.9938993453979492,attn_L1,3,"2,22,4",0.9938993390950687,0.22979156075241486,0.48744280630401626,0.005923543127048092,0.6766912154984963
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_gen_F,14500,0.9938993453979492,mlp_L1,3,"4,15,22",0.9938993390950687,0.47127605490594815,0.9200813421453992,0.005600585400679395,0.5889332239511142
