step,train_acc,test_acc,f_emb_corr
1,0.01425178162753582,0.018810370936989784,0.0
500,1.0,0.0,0.0
1000,1.0,0.0,0.0
1500,1.0,0.0,0.0
2000,1.0,0.0020335535518825054,0.0
2500,1.0,0.0030503305606544018,0.0
3000,1.0,0.0030503305606544018,0.0
3500,1.0,0.006609049160033464,0.0
4000,1.0,0.005592272616922855,0.0
4500,1.0,0.008134214207530022,0.0
5000,1.0,0.009150991216301918,0.0
5500,1.0,0.007625826168805361,0.0
6000,1.0,0.010676156729459763,0.0
6500,1.0,0.00864260271191597,0.0
7000,1.0,0.010167768225073814,0.0
7500,1.0,0.010167768225073814,0.0
8000,1.0,0.0025419420562684536,0.0
8500,1.0,0.013218098320066929,0.0
9000,1.0,0.010676156729459763,0.0
9500,1.0,0.01270970981568098,0.0
10000,1.0,0.01728520542383194,0.0
10500,1.0,0.014743263833224773,0.0
11000,1.0,0.018301982432603836,0.0
11500,1.0,0.01677681691944599,0.0
12000,1.0,0.020843924954533577,0.0
12500,1.0,0.01982714794576168,0.0
13000,1.0,0.02033553645014763,0.0
13500,1.0,0.01728520542383194,0.0
14000,1.0,0.013726486824452877,0.0
14500,1.0,0.010167768225073814,0.0
15000,1.0,0.02287747897207737,0.0
15500,1.0,0.020843924954533577,0.0
16000,1.0,0.026436196640133858,0.0
16500,1.0,0.026944585144519806,0.0
17000,1.0,0.02592780813574791,0.0
17500,1.0,0.02541941963136196,0.0
18000,1.0,0.02287747897207737,0.0
18500,0.9988123774528503,0.007117437664419413,0.0
19000,1.0,0.029994916170835495,0.0
19500,1.0,0.03152007982134819,0.0
20000,1.0,0.029486527666449547,0.0
20500,1.0,0.026436196640133858,0.0
21000,1.0,0.03355363383889198,0.0
21500,1.0,0.03152007982134819,0.0
22000,1.0,0.026436196640133858,0.0
22500,0.8776721954345703,0.007117437664419413,0.0
23000,1.0,0.029994916170835495,0.0
23500,1.0,0.03355363383889198,0.0
24000,1.0,0.033045247197151184,0.0
24500,1.0,0.03202847018837929,0.0
25000,1.0,0.033045247197151184,0.0
25500,0.8717339634895325,0.016268428415060043,0.0
26000,1.0,0.03355363383889198,0.0
26500,1.0,0.033045247197151184,0.0
27000,1.0,0.03965429589152336,0.0
27500,1.0,0.04016268253326416,0.0
28000,1.0,0.02033553645014763,0.0
28500,1.0,0.04321301355957985,0.0
29000,1.0,0.04880528897047043,0.0
29500,1.0,0.04473818093538284,0.0
30000,1.0,0.05185561627149582,0.0
30500,0.9988123774528503,0.014234875328838825,0.0
31000,1.0,0.0574478916823864,0.0
31500,1.0,0.05388917028903961,0.0
32000,1.0,0.05083883926272392,0.0
32500,1.0,0.061514995992183685,0.0
33000,0.9928740859031677,0.017793593928217888,0.0
33500,1.0,0.07168276607990265,0.0
34000,1.0,0.07371632009744644,0.0
34500,1.0,0.0864260271191597,0.0
