cell_label,category,lr,wd,seed,observed_phase,tau_gen,null_interval,ema_alpha,slope_thresh,tau_F,delta,ordering
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,2500,1.0,0.01,19500.0,5500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,2500,1.0,0.02,19500.0,5500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,2500,0.3,0.005,20500.0,6500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,2500,0.3,0.01,20500.0,6500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,2500,0.3,0.02,20500.0,6500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,2500,0.15,0.005,21500.0,7500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,2500,0.15,0.01,21500.0,7500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,2500,0.15,0.02,21500.0,7500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,2500,0.05,0.005,24000.0,10000.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,2500,0.05,0.01,24000.0,10000.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,2500,0.05,0.02,24000.0,10000.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,5000,1.0,0.005,19500.0,5500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,5000,1.0,0.01,19500.0,5500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,5000,1.0,0.02,19500.0,5500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,5000,0.3,0.005,20500.0,6500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,5000,0.3,0.01,20500.0,6500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,5000,0.3,0.02,20500.0,6500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,5000,0.15,0.005,21500.0,7500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,5000,0.15,0.01,21500.0,7500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,5000,0.15,0.02,21500.0,7500.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,5000,0.05,0.005,24000.0,10000.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,5000,0.05,0.01,24000.0,10000.0,G<F
wd1.52_s42,medium_GF,0.0016,1.5223,42,Grokking,14000.0,5000,0.05,0.02,24000.0,10000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,500,1.0,0.005,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,500,1.0,0.01,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,500,1.0,0.02,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,500,0.3,0.005,27500.0,12500.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,500,0.3,0.01,27500.0,12500.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,500,0.3,0.02,27500.0,12500.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,500,0.15,0.005,24000.0,9000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,500,0.15,0.01,24000.0,9000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,500,0.15,0.02,24000.0,9000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,500,0.05,0.005,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,500,0.05,0.01,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,500,0.05,0.02,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,2500,1.0,0.005,26500.0,11500.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,2500,1.0,0.01,26500.0,11500.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,2500,1.0,0.02,26500.0,11500.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,2500,0.3,0.005,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,2500,0.3,0.01,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,2500,0.3,0.02,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,2500,0.15,0.005,24000.0,9000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,2500,0.15,0.01,24000.0,9000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,2500,0.15,0.02,24000.0,9000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,2500,0.05,0.005,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,2500,0.05,0.01,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,2500,0.05,0.02,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,5000,1.0,0.005,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,5000,1.0,0.01,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,5000,1.0,0.02,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,5000,0.3,0.005,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,5000,0.3,0.01,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,5000,0.3,0.02,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,5000,0.15,0.005,24000.0,9000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,5000,0.15,0.01,24000.0,9000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,5000,0.15,0.02,24000.0,9000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,5000,0.05,0.005,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,5000,0.05,0.01,27000.0,12000.0,G<F
wd2.18_s42,medium_GF,0.0016,2.175,42,Grokking,15000.0,5000,0.05,0.02,27000.0,12000.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,500,1.0,0.005,13500.0,1500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,500,1.0,0.01,13500.0,1500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,500,1.0,0.02,13500.0,1500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,500,0.3,0.005,14500.0,2500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,500,0.3,0.01,14500.0,2500.0,G<F
