lr,wd,seed,tau_gen,tau_F,delta,y,p_full,p_geom,p_speed
0.002099,1.7145,42,11000,18000,7000,1,0.9318,0.8574,0.9480
0.002099,1.7145,7,18500,21000,2500,1,0.8648,0.8574,0.9012
0.002099,1.7145,2025,7000,23000,16000,1,0.9638,0.8574,0.9711
0.002099,2.0494,42,14000,29000,15000,1,0.9121,0.8815,0.9296
0.002099,2.0494,7,8000,13500,5500,1,0.9593,0.8815,0.9655
0.002099,2.0494,2025,7000,13500,6500,1,0.9664,0.8815,0.9711
0.002099,2.4497,42,16500,23000,6500,1,0.8978,0.9017,0.9139
0.002099,2.4497,7,8500,9500,1000,1,0.9587,0.9017,0.9627
0.002099,2.4497,2025,4500,13000,8500,1,0.9837,0.9017,0.9841
0.002099,2.9281,42,11000,15000,4000,1,0.9448,0.9187,0.9480
0.002099,2.9281,7,11500,22000,10500,1,0.9413,0.9187,0.9450
0.002099,2.9281,2025,6500,12500,6000,1,0.9739,0.9187,0.9738
0.002099,3.5,7,9500,16000,6500,1,0.9582,0.9330,0.9569
0.002099,3.5,2025,6500,14500,8000,1,0.9758,0.9330,0.9738
0.003004,1.2,42,42000,39500,-2500,0,0.6399,0.8453,0.7685
0.003004,1.2,2025,11500,17500,6000,1,0.8979,0.8009,0.9450
0.003004,1.4344,7,43000,39500,-3500,0,0.6417,0.8636,0.7632
0.003004,1.4344,2025,11000,15000,4000,1,0.9108,0.8351,0.9480
0.003004,1.4344,42,59500,39500,-20000,0,0.5343,0.8636,0.6829
0.003004,1.7145,2025,8500,13000,4500,1,0.9418,0.8633,0.9627
0.003004,2.0494,42,22000,26500,4500,1,0.8112,0.8866,0.8787
0.003004,2.0494,7,9000,10000,1000,1,0.9414,0.8866,0.9598
0.003004,2.0494,2025,5500,10500,5000,1,0.9710,0.8866,0.9791
0.003004,2.4497,42,8000,18500,10500,1,0.9537,0.9061,0.9655
0.003004,2.4497,7,5500,17000,11500,1,0.9730,0.9061,0.9791
0.003004,2.4497,2025,3500,8500,5000,1,0.9863,0.9061,0.9888
0.003004,2.9281,42,6500,21000,14500,1,0.9680,0.9225,0.9738
