source,label,canonical_tauF,bp1_M1,bp1_M2,bp2_M2,bic_M0,bic_M1,bic_M2,preferred,delta_bp1
e3_nanda,lr5.00e-04_wd2.5_s2025,42000,42000,8000,42000,-641.69,-846.89,-837.66,M1,-34000
e3_nanda,lr5.00e-04_wd2.5_s42,54000,54000,52000,58500,-764.58,-1479.81,-1726.49,M2,-2000
e3_nanda,lr5.00e-04_wd2.5_s7,57000,57000,55000,60500,-607.87,-1278.11,-1703.15,M2,-2000
e3_nanda,lr5.88e-03_wd2.5_s2025,8000,8000,9000,22000,-660.35,-1061.81,-1136.34,M2,1000
e3_nanda,lr5.88e-03_wd2.5_s42,28000,28000,27000,36500,-2021.75,-2280.77,-2365.61,M2,-1000
e3_nanda,lr5.88e-03_wd2.5_s7,29500,29500,16500,30000,-1878.37,-2098.06,-2233.22,M2,-13000
e3_nanda,lr6.80e-04_wd2.5_s2025,40500,40500,39000,42000,-503.66,-910.08,-905.78,M1,-1500
e3_nanda,lr6.80e-04_wd2.5_s42,39000,39000,38500,42000,-472.31,-902.06,-922.01,M2,-500
e3_nanda,lr6.80e-04_wd2.5_s7,42000,42000,36500,42000,-569.20,-841.70,-846.13,M2,-5500
e3_nanda,lr8.00e-03_wd2.5_s2025,13000,13000,13000,57500,-2288.95,-2448.88,-2465.97,M2,0
e3_nanda,lr8.00e-03_wd2.5_s42,21000,21000,13000,26500,-1792.22,-1979.98,-2030.12,M2,-8000
e3_nanda,lr8.00e-03_wd2.5_s7,20000,20000,24500,62500,-1693.30,-1916.39,-2193.77,M2,4500
e3_nanda,lr9.26e-04_wd2.5_s2025,35500,35500,34000,40000,-421.95,-792.13,-1004.19,M2,-1500
e3_nanda,lr9.26e-04_wd2.5_s42,26500,26500,27500,39000,-495.41,-853.23,-1036.73,M2,1000
e3_nanda,lr9.26e-04_wd2.5_s7,31500,31500,32500,39500,-389.05,-714.41,-866.17,M2,1000
