label,category,tau_gen_0.80,tau_gen_0.85,tau_gen_0.90,tau_gen_0.95,delta_0.80,delta_0.85,delta_0.95
wd1.71_s7,strong_GF,15500,15500,17000,17500,-1500,-1500,500
wd2.76_s42,strong_GF,7500,8500,11500,21000,-4000,-3000,9500
wd1.52_s42,medium_GF,12000,12000,14000,16000,-2000,-2000,2000
wd2.18_s42,medium_GF,14000,14500,15000,16000,-1000,-500,1000
wd2.45_s7,weak_GF,12000,12000,12000,12500,0,0,500
wd3.50_s7,weak_GF,17500,18000,19000,19000,-1500,-1000,0
wd3.11_s2025,coincident,10500,11000,11000,12000,-500,0,1000
lr6.8e4_s7,FG,43500,43500,43500,44000,0,0,500
