step,train_acc,test_acc,f_emb_corr
1,0.01425178162753582,0.018810370936989784,0.0
500,1.0,0.0015251652803272009,0.0
1000,1.0,0.0020335535518825054,0.0
1500,1.0,0.004067107103765011,0.0
2000,1.0,0.0030503305606544018,0.0
2500,1.0,0.004067107103765011,0.0
3000,1.0,0.005592272616922855,0.0
3500,1.0,0.007625826168805361,0.0
4000,1.0,0.007625826168805361,0.0
4500,1.0,0.012201322242617607,0.0
5000,1.0,0.01728520542383194,0.0
5500,1.0,0.016268428415060043,0.0
6000,1.0,0.024402644485235214,0.0
6500,1.0,0.029994916170835495,0.0
7000,1.0,0.03914590924978256,0.0
7500,1.0,0.06914082169532776,0.0
8000,1.0,0.1123538389801979,0.0
8500,1.0,0.26893746852874756,0.0
9000,1.0,0.41026943922042847,0.0
9500,1.0,0.46771734952926636,0.0
10000,1.0,0.6268429160118103,0.0
10500,1.0,0.6441280841827393,0.0
11000,1.0,0.7915607690811157,0.0
11500,1.0,0.8190137147903442,0.0
12000,1.0,0.9211997985839844,0.0
12500,1.0,0.9166243076324463,0.0
13000,1.0,0.9440772533416748,0.0
13500,1.0,0.937976598739624,0.0
14000,1.0,0.9384850263595581,0.0
14500,0.9821852445602417,0.7646161913871765,0.0
15000,1.0,0.9761057496070862,0.0
15500,1.0,0.9486527442932129,0.0
16000,1.0,0.9735637903213501,0.0007673254283755773
16500,1.0,0.9811896085739136,0.003900216457422258
17000,1.0,0.9766141176223755,0.007321600148410469
17500,1.0,0.982206404209137,0.010529748837967458
18000,1.0,0.9857650995254517,0.01528220417333296
18500,1.0,0.9786477088928223,0.021710847189950123
19000,0.754156768321991,0.5236400365829468,0.0291649071881546
19500,1.0,0.9349262714385986,0.036609501812468394
20000,1.0,0.9944077134132385,0.043278132856879176
20500,1.0,0.9938993453979492,0.054983701527725776
21000,1.0,0.9954245090484619,0.07085181398434967
21500,1.0,0.997966468334198,0.09072077061172998
22000,1.0,0.9562786221504211,0.11704766387430718
22500,1.0,0.9994916319847107,0.1395179813830166
23000,1.0,1.0,0.15968958089821714
23500,1.0,1.0,0.18940722052278866
24000,0.8135392069816589,0.7620742321014404,0.23554794890061545
24500,1.0,1.0,0.28898229120193064
25000,1.0,1.0,0.31758429362467006
25500,1.0,0.9908490180969238,0.3630982132443072
26000,1.0,1.0,0.3859336568297645
26500,1.0,1.0,0.39669956263403766
27000,1.0,1.0,0.39128341073203515
27500,1.0,1.0,0.3709954463394079
28000,1.0,1.0,0.3472940835792934
28500,1.0,1.0,0.32494512486496835
29000,1.0,1.0,0.3532869634433588
29500,1.0,1.0,0.3326246576723045
30000,1.0,1.0,0.3169856637662887
30500,1.0,1.0,0.3745991792291572
31000,1.0,1.0,0.3708631402232805
31500,1.0,1.0,0.3839307832386357
