step,train_loss,test_loss,train_acc,test_acc,eff_dim
1,4.14902400970459,4.127335071563721,0.013064133003354073,0.01982714794576168,46.7752
100,0.006576315965503454,8.195929527282715,1.0,0.0,46.7424
200,0.005639033857733011,7.527462959289551,1.0,0.0015251652803272009,46.7210
300,0.006997374817728996,6.743162155151367,1.0,0.0,46.6619
400,0.007666063494980335,7.068831443786621,1.0,0.0005083883879706264,46.5600
500,0.006440501194447279,6.653610706329346,1.0,0.0005083883879706264,46.5228
600,0.006471874658018351,6.212320327758789,1.0,0.0,46.4507
700,0.0031335349194705486,6.9920501708984375,1.0,0.0005083883879706264,46.3404
800,0.005573946982622147,6.205071449279785,1.0,0.0,46.2998
900,0.15805263817310333,5.855747699737549,0.9988123774528503,0.0010167767759412527,46.2213
1000,0.004128988832235336,6.493886470794678,1.0,0.0005083883879706264,46.1681
1100,0.005193260498344898,5.868610382080078,1.0,0.0010167767759412527,46.1098
1200,0.0021983191836625338,7.041177749633789,1.0,0.0005083883879706264,46.0309
1300,0.004619320388883352,6.049758434295654,1.0,0.0010167767759412527,45.9865
1400,0.2548304498195648,5.858412265777588,0.9916864633560181,0.0,45.9155
1500,0.0032744843047112226,6.309253692626953,1.0,0.0005083883879706264,45.8713
1600,0.004710896406322718,5.703602313995361,1.0,0.0015251652803272009,45.8142
1700,0.0016917265020310879,7.035208225250244,1.0,0.0005083883879706264,45.7596
1800,0.004117461387068033,5.921864986419678,1.0,0.0015251652803272009,45.7129
1900,0.1501530110836029,5.809080123901367,0.9833729267120361,0.0,45.6362
2000,0.0029190194327384233,6.104006290435791,1.0,0.0035587188322097063,45.5898
2100,0.004446789156645536,5.556942939758301,1.0,0.0030503305606544018,45.5208
2200,0.0015352562768384814,6.987869739532471,1.0,0.0015251652803272009,45.4500
2300,0.003529538167640567,5.8337202072143555,1.0,0.0030503305606544018,45.3989
2400,0.004298300016671419,5.451998233795166,1.0,0.004067107103765011,45.3239
2500,0.0014320469927042723,6.601535320281982,1.0,0.0025419420562684536,45.2457
2600,0.003646465949714184,5.619418621063232,1.0,0.004067107103765011,45.1864
2700,0.0041173663921654224,5.346426486968994,1.0,0.005083884112536907,45.1029
2800,0.0013684913283213973,6.4075188636779785,1.0,0.005083884112536907,45.0208
2900,0.0034813156817108393,5.509721755981445,1.0,0.008134214207530022,44.9611
3000,0.0038920885417610407,5.275920867919922,1.0,0.010167768225073814,44.8768
3100,0.001372021622955799,6.635512828826904,1.0,0.006609049160033464,44.7899
3200,0.0029999595135450363,5.635364055633545,1.0,0.010676156729459763,44.7320
3300,0.003708343952894211,5.293098449707031,1.0,0.01270970981568098,44.6486
3400,0.002153857843950391,6.326958179473877,1.0,0.009150991216301918,44.5354
3500,0.0026863855309784412,5.48310661315918,1.0,0.01728520542383194,44.4804
3600,0.0034940496552735567,5.202666759490967,1.0,0.015760039910674095,44.3950
3700,0.002236600499600172,6.906839847564697,1.0,0.005083884112536907,44.2814
3800,0.002177540445700288,5.75192928314209,1.0,0.01270970981568098,44.2276
3900,0.0032829083502292633,5.26414155960083,1.0,0.015251652337610722,44.1438
4000,0.003209709655493498,5.14552116394043,1.0,0.015760039910674095,44.0454
4100,0.001299554598517716,5.841698169708252,1.0,0.018301982432603836,43.9525
4200,0.002944363048300147,5.217226505279541,1.0,0.02033553645014763,43.8740
4300,0.0031573171727359295,5.043863296508789,1.0,0.016268428415060043,43.7725
4400,0.0021940607111901045,6.1921281814575195,1.0,0.018301982432603836,43.6570
4500,0.00218709628097713,5.41928243637085,1.0,0.026944585144519806,43.5981
4600,0.0031721866689622402,5.022556304931641,1.0,0.023385867476463318,43.5070
4700,0.0031565665267407894,4.925550937652588,1.0,0.02236909046769142,43.4000
4800,0.001203277613967657,5.843462944030762,1.0,0.030503304675221443,43.3007
4900,0.0027758777141571045,5.152737617492676,1.0,0.03253685683012009,43.2189
5000,0.00335180782712996,4.902432918548584,1.0,0.029994916170835495,43.1092
5100,0.0032425818499177694,4.860496520996094,1.0,0.026944585144519806,42.9889
5200,0.0012955875135958195,5.499908447265625,1.0,0.033045247197151184,42.8951
5300,0.0029295869171619415,4.967346668243408,1.0,0.030503304675221443,42.8028
5400,0.0032921400852501392,4.826132774353027,1.0,0.026944585144519806,42.6846
5500,0.3569793403148651,5.172924041748047,0.9441805481910706,0.01270970981568098,42.5576
5600,0.0018015759997069836,5.568363189697266,1.0,0.033045247197151184,42.4994
5700,0.003225427120923996,5.0111870765686035,1.0,0.03406202420592308,42.3974
5800,0.0034638619981706142,4.819900035858154,1.0,0.03101169317960739,42.2725
5900,0.13664934039115906,5.432825088500977,0.9857482314109802,0.02033553645014763,42.1231
6000,0.0020610359497368336,5.362922191619873,1.0,0.03762074187397957,42.0580
6100,0.003388085635378957,4.877316951751709,1.0,0.03457041084766388,41.9532
6200,0.0035866908729076385,4.720077037811279,1.0,0.03253685683012009,41.8243
6300,0.9692150354385376,4.6853766441345215,0.9501187801361084,0.0061006611213088036,41.6845
6400,0.0020194463431835175,5.185144901275635,1.0,0.038637518882751465,41.5886
6500,0.0034999048803001642,4.74600076675415,1.0,0.03711235523223877,41.4666
6600,0.0037168338894844055,4.609826564788818,1.0,0.035587187856435776,41.3170
6700,0.003660067217424512,5.060192584991455,1.0,0.04829689860343933,41.1726
6800,0.002941819140687585,4.665484428405762,1.0,0.04829689860343933,41.0901
6900,0.003944745287299156,4.484468460083008,1.0,0.04473818093538284,40.9591
7000,0.0034653330221772194,5.276911735534668,1.0,0.04524656757712364,40.8009
7100,0.0029238916467875242,4.828380584716797,1.0,0.04931367561221123,40.7088
