step,train_loss,test_loss,train_acc,test_acc,eff_dim
1,4.14902400970459,4.127335071563721,0.013064133003354073,0.01982714794576168,46.7752
100,0.005491842981427908,8.27729606628418,1.0,0.0,46.6997
200,0.0031243953853845596,8.056041717529297,1.0,0.0,46.6851
300,0.002265013288706541,7.77238655090332,1.0,0.0,46.6629
400,0.07778327912092209,6.917964935302734,0.9976246953010559,0.0,46.6541
500,0.001910615130327642,7.752168655395508,1.0,0.0,46.6624
600,0.0019406728679314256,7.494653701782227,1.0,0.0,46.6420
700,0.0018783013802021742,7.303612232208252,1.0,0.0,46.6136
800,0.0018055045511573553,7.147374629974365,1.0,0.0,46.5806
900,0.0017227460630238056,7.016408920288086,1.0,0.0005083883879706264,46.5442
1000,0.0016291929641738534,6.907217979431152,1.0,0.0005083883879706264,46.5047
1100,0.0015320064267143607,6.813235759735107,1.0,0.0005083883879706264,46.4628
1200,0.0014376803301274776,6.72845983505249,1.0,0.0005083883879706264,46.4196
1300,0.0009240317740477622,7.896150588989258,1.0,0.0010167767759412527,46.4008
1400,0.0011617846321314573,7.608783721923828,1.0,0.0005083883879706264,46.3955
1500,0.0013287269975990057,7.399103164672852,1.0,0.0005083883879706264,46.3788
1600,0.0013773789396509528,7.240220546722412,1.0,0.0005083883879706264,46.3536
1700,0.0013997044879943132,7.092660903930664,1.0,0.0005083883879706264,46.3240
1800,0.0013972915476188064,6.957653045654297,1.0,0.0,46.2906
1900,0.0013580332743003964,6.842119216918945,1.0,0.0,46.2533
2000,0.0012945369817316532,6.740358829498291,1.0,0.0,46.2125
2100,0.0012229937128722668,6.644926071166992,1.0,0.0,46.1693
2200,0.0011522475397214293,6.553153038024902,1.0,0.0,46.1245
2300,0.0010859607718884945,6.466146469116211,1.0,0.0,46.0787
2400,0.0010249072220176458,6.386836528778076,1.0,0.0,46.0325
2500,0.0009684344404377043,6.318398952484131,1.0,0.0,45.9863
2600,0.0006002993322908878,8.088672637939453,1.0,0.0005083883879706264,45.9422
2700,0.0007721009897068143,7.775404453277588,1.0,0.0005083883879706264,45.9309
2800,0.0008469773456454277,7.568688869476318,1.0,0.0005083883879706264,45.9110
2900,0.0009150246623903513,7.356908798217773,1.0,0.0,45.8872
3000,0.0009640533244237304,7.148367404937744,1.0,0.0,45.8610
3100,0.0009831165662035346,6.960134506225586,1.0,0.0005083883879706264,45.8315
3200,0.0009755239589139819,6.794129848480225,1.0,0.0,45.7989
3300,0.0009524465422146022,6.648011207580566,1.0,0.0,45.7639
3400,0.0009216955513693392,6.523618221282959,1.0,0.0,45.7270
3500,0.0008870927267707884,6.42315673828125,1.0,0.0,45.6887
3600,0.0008503915159963071,6.347465991973877,1.0,0.0,45.6498
3700,0.000812314567156136,6.295560359954834,1.0,0.0,45.6109
3800,1.0133219957351685,5.874432563781738,0.8337292075157166,0.0,45.5630
3900,0.0004267407348379493,8.202094078063965,1.0,0.0010167767759412527,45.5497
4000,0.0005014617927372456,7.917385578155518,1.0,0.0005083883879706264,45.5327
4100,0.0005794411990791559,7.6369733810424805,1.0,0.0005083883879706264,45.5098
4200,0.0006503889453597367,7.347579479217529,1.0,0.0005083883879706264,45.4844
4300,0.0007037481409497559,7.085580825805664,1.0,0.0,45.4565
4400,0.0007347255595959723,6.8617777824401855,1.0,0.0,45.4263
4500,0.0007470979471690953,6.677180290222168,1.0,0.0,45.3940
4600,0.0007455084123648703,6.537078857421875,1.0,0.0005083883879706264,45.3601
4700,0.0007316557457670569,6.443243980407715,1.0,0.0005083883879706264,45.3254
4800,0.0007082227384671569,6.38961124420166,1.0,0.0005083883879706264,45.2905
4900,0.0006789359031245112,6.366781234741211,1.0,0.0010167767759412527,45.2562
5000,0.0006468077190220356,6.366720676422119,1.0,0.0010167767759412527,45.2227
5100,0.0006137112504802644,6.383614540100098,1.0,0.0010167767759412527,45.1903
5200,0.0005807578563690186,6.413195610046387,1.0,0.0010167767759412527,45.1589
5300,0.000380468467483297,9.171957969665527,1.0,0.0005083883879706264,45.1500
5400,0.00042932326323352754,8.737220764160156,1.0,0.0010167767759412527,45.1400
5500,0.00047717400593683124,8.454154968261719,1.0,0.0010167767759412527,45.1181
5600,0.0005194577970542014,8.16187858581543,1.0,0.0005083883879706264,45.0908
5700,0.000556160812266171,7.855527400970459,1.0,0.0005083883879706264,45.0616
5800,0.000589586968999356,7.555099964141846,1.0,0.0005083883879706264,45.0309
5900,0.0006155463634058833,7.282234191894531,1.0,0.0,44.9983
6000,0.0006316701183095574,7.043386459350586,1.0,0.0,44.9640
6100,0.0006392534705810249,6.846174240112305,1.0,0.0,44.9282
6200,0.0006378632970154285,6.697776794433594,1.0,0.0,44.8913
6300,0.0006266848067753017,6.598277568817139,1.0,0.0005083883879706264,44.8538
6400,0.0006069675437174737,6.540190696716309,1.0,0.0005083883879706264,44.8163
6500,0.0005817339988425374,6.513444423675537,1.0,0.0005083883879706264,44.7794
6600,0.000553820573259145,6.509433746337891,1.0,0.0005083883879706264,44.7433
6700,0.0005251710535958409,6.52180814743042,1.0,0.0005083883879706264,44.7082
