step,train_acc,test_acc,f_emb_corr
1,0.009922041557729244,0.008805222809314728,0.0
500,1.0,0.00075907091377303,0.0
1000,1.0,0.0034917262382805347,0.0
1500,1.0,0.042204342782497406,0.0
2000,1.0,0.8742978572845459,0.0
2500,1.0,0.9883103370666504,0.0
3000,1.0,0.9901320934295654,0.0
3500,0.8019135594367981,0.7088204026222229,0.0
4000,1.0,0.9945346713066101,0.0
4500,1.0,0.9955973625183105,0.0
5000,1.0,0.9984818696975708,0.0
5500,0.8369950652122498,0.7110975980758667,0.0
6000,1.0,0.9993927478790283,0.0
6500,1.0,0.9993927478790283,0.0
7000,1.0,0.9998481869697571,0.0
7500,1.0,1.0,0.0
8000,1.0,0.9998481869697571,8.73396613196506e-05
8500,1.0,1.0,0.00044559266626783417
9000,1.0,1.0,0.003172578217628029
9500,1.0,1.0,0.0064871553117115885
10000,1.0,1.0,0.008641896759541058
10500,1.0,1.0,0.013729748090581674
11000,1.0,1.0,0.018275388603700128
11500,1.0,1.0,0.022285410416462904
12000,1.0,0.9996963739395142,0.026291859263815366
12500,1.0,1.0,0.029468723259929865
13000,1.0,1.0,0.03297659124675743
13500,0.8710134625434875,0.798694372177124,0.03618140385800404
14000,1.0,1.0,0.03973733094125385
14500,1.0,1.0,0.04332264684489504
15000,0.9996456503868103,0.9968119263648987,0.04430100247677328
15500,1.0,1.0,0.04710361833250644
16000,1.0,1.0,0.051064110925966535
16500,1.0,1.0,0.05416393741327409
17000,1.0,1.0,0.057539615493971366
17500,1.0,1.0,0.06129722101131653
18000,1.0,1.0,0.06488778056181944
18500,1.0,1.0,0.06822164609917626
19000,1.0,1.0,0.07203523004224822
19500,1.0,1.0,0.0758450180291912
20000,1.0,1.0,0.07696713196724987
20500,1.0,0.9998481869697571,0.08248231419075154
21000,1.0,1.0,0.08806520206092978
21500,1.0,1.0,0.09296359236480785
22000,1.0,1.0,0.099683091397976
22500,1.0,1.0,0.10721659335713514
23000,1.0,1.0,0.11572900320175512
23500,1.0,1.0,0.12390823153071846
24000,1.0,1.0,0.13302892025159513
24500,1.0,1.0,0.14457873797461301
25000,1.0,1.0,0.14799816642753202
25500,1.0,1.0,0.1619544937133914
26000,1.0,1.0,0.18567981906628958
26500,1.0,1.0,0.20939648778103379
27000,1.0,1.0,0.23755657272012684
27500,1.0,1.0,0.2760143273152941
28000,1.0,1.0,0.3155366386737787
28500,1.0,1.0,0.3477611809347042
29000,1.0,1.0,0.38757565520077486
29500,1.0,1.0,0.4217298602353914
30000,0.9971651434898376,0.9921056628227234,0.44775166043853903
30500,0.9907866716384888,0.981934130191803,0.45764930407991916
31000,1.0,1.0,0.4673989110959594
31500,1.0,0.9998481869697571,0.4338847711324048
32000,0.7554925680160522,0.7265826463699341,0.39326770929109106
32500,1.0,1.0,0.398464952095506
33000,1.0,1.0,0.3678831283890092
33500,1.0,1.0,0.3470156994748122
34000,1.0,0.9998481869697571,0.38884549314453515
34500,1.0,1.0,0.38771083105201715
35000,1.0,1.0,0.4315958653150386
35500,1.0,0.9998481869697571,0.3711190827782632
36000,1.0,1.0,0.35026467182957133
36500,1.0,1.0,0.35532574586644694
37000,1.0,1.0,0.34837039249436663
37500,1.0,1.0,0.3529268146123401
38000,1.0,1.0,0.3561508854119406
38500,1.0,1.0,0.4050471663014955
39000,1.0,1.0,0.36739083692436647
39500,1.0,1.0,0.36943486314699014
40000,1.0,1.0,0.3471517427856197
40500,1.0,1.0,0.3385175987454699
41000,1.0,1.0,0.3899115393736739
41500,1.0,1.0,0.40753707407507195
42000,1.0,1.0,0.4005489191007921
42500,1.0,1.0,0.37178113314346267
43000,1.0,1.0,0.3783171035472687
43500,1.0,1.0,0.41307021093419266
44000,1.0,1.0,0.3293078899832856
44500,1.0,1.0,0.3962334034639919
45000,0.9645641446113586,0.9533930420875549,0.45100668524218124
45500,1.0,1.0,0.42030146255936474
46000,1.0,1.0,0.3506182167312596
46500,1.0,1.0,0.3983901102616485
47000,1.0,1.0,0.36155210249538994
47500,1.0,1.0,0.4076638831689906
48000,1.0,1.0,0.346800003659679
48500,1.0,1.0,0.3324203686850934
49000,1.0,1.0,0.39467923031965046
49500,1.0,1.0,0.35077614740139307
50000,1.0,1.0,0.37946020829414195
50500,1.0,1.0,0.34398907545407664
51000,1.0,1.0,0.3855756380833254
51500,1.0,1.0,0.3938814511117671
52000,1.0,1.0,0.4119383815547296
52500,1.0,1.0,0.44563785933990474
53000,1.0,1.0,0.41313766548504227
53500,1.0,1.0,0.36949813620757
54000,1.0,1.0,0.43839949189358407
54500,1.0,1.0,0.37513055254702965
55000,1.0,1.0,0.37409852129960985
55500,1.0,1.0,0.36702555921755664
56000,1.0,1.0,0.37025837809315676
56500,1.0,1.0,0.4066765993063378
57000,1.0,1.0,0.39195932533890443
57500,1.0,1.0,0.3687228581100541
58000,1.0,1.0,0.40041245284187754
58500,1.0,1.0,0.39707921812147395
59000,1.0,1.0,0.40543124358855187
59500,1.0,1.0,0.373205449423745
60000,1.0,1.0,0.38166075081333806
60500,1.0,1.0,0.37941489668946404
61000,1.0,1.0,0.43588055671152737
61500,1.0,0.9993927478790283,0.43741052947534
62000,1.0,1.0,0.42540729927435394
62500,1.0,1.0,0.39272672455369284
63000,1.0,1.0,0.38683100465909503
63500,1.0,1.0,0.4006001562268634
64000,0.9996456503868103,1.0,0.3862321410376943
64500,1.0,1.0,0.3807649255274904
65000,1.0,1.0,0.43456511418207044
65500,0.9936215281486511,0.983755886554718,0.42095297939321563
66000,1.0,1.0,0.38412432576157896
66500,1.0,1.0,0.3849997742160153
67000,1.0,1.0,0.3845389139077825
67500,1.0,1.0,0.3826407885135852
68000,1.0,1.0,0.402269013383476
68500,0.9645641446113586,0.9456505179405212,0.43066858154252896
69000,1.0,1.0,0.41541780752066115
69500,1.0,1.0,0.42189918196466347
70000,1.0,1.0,0.39489587786717784
70500,1.0,1.0,0.3814392172797615
