step,train_loss,test_loss,train_acc,test_acc,eff_dim
1,4.744973659515381,4.742166996002197,0.009667024947702885,0.01119803637266159,64.8607
100,0.05038393661379814,7.1426682472229,1.0,0.011811628006398678,64.4209
200,0.018906736746430397,6.953184127807617,1.0,0.011658229865133762,64.1732
300,0.024706106632947922,6.673159599304199,1.0,0.01242521870881319,63.9217
400,0.014234286732971668,6.507688522338867,1.0,0.011658229865133762,63.6232
500,0.017070982605218887,6.4282546043396,1.0,0.01119803637266159,63.2193
600,0.011830061674118042,6.304264068603516,1.0,0.01119803637266159,62.8754
700,0.00993858277797699,6.3506317138671875,1.0,0.011811628006398678,62.4468
800,0.009974713437259197,6.228376865386963,1.0,0.012271820567548275,62.0591
900,0.007297738455235958,6.340260982513428,1.0,0.012118423357605934,61.6569
1000,0.008510486222803593,6.204378604888916,1.0,0.012732014060020447,61.2542
1100,0.00860595889389515,6.406872749328613,1.0,0.011965025216341019,60.7967
1200,0.007095524109899998,6.243460178375244,1.0,0.012732014060020447,60.4738
1300,0.2049175649881363,6.3118391036987305,0.9949874877929688,0.010737842880189419,59.9805
1400,0.005655040964484215,6.375385284423828,1.0,0.013038809411227703,59.7314
1500,0.006081188563257456,6.300693988800049,1.0,0.012732014060020447,59.2796
1600,0.018994897603988647,6.478209018707275,1.0,0.012578615918755531,58.8233
1700,0.004869169555604458,6.430367469787598,1.0,0.012118423357605934,58.5832
1800,0.005169878248125315,6.380149841308594,1.0,0.013192207552492619,58.1325
1900,0.059041790664196014,6.533619403839111,1.0,0.012271820567548275,57.6774
2000,0.003996136598289013,6.566588401794434,1.0,0.013038809411227703,57.4942
2100,0.00442820880562067,6.488731384277344,1.0,0.01334560476243496,57.0744
2200,0.2777012288570404,6.492858409881592,0.9645542502403259,0.013805798254907131,56.6258
2300,0.0027230859268456697,6.845578670501709,1.0,0.013038809411227703,56.4543
2400,0.003736883634701371,6.618403911590576,1.0,0.01365240104496479,56.0940
2500,0.0037649935111403465,6.603128433227539,1.0,0.013805798254907131,55.6670
2600,1.052443265914917,6.583587169647217,0.7883995771408081,0.01242521870881319,55.2456
2700,0.0018761669052764773,7.288896560668945,1.0,0.013192207552492619,55.2392
2800,0.0030228453688323498,6.840823650360107,1.0,0.013805798254907131,54.9355
2900,0.0033045795280486345,6.721982002258301,1.0,0.014265991747379303,54.5267
3000,0.0032524087000638247,6.710824012756348,1.0,0.014265991747379303,54.1046
3100,0.8392613530158997,6.693592548370361,0.8746867179870605,0.010737842880189419,53.7192
3200,0.0019701167475432158,7.232002258300781,1.0,0.013038809411227703,53.6677
3300,0.002808190416544676,6.87640380859375,1.0,0.013499002903699875,53.3301
3400,0.0029547656886279583,6.788639545440674,1.0,0.01334560476243496,52.9340
3500,0.002877717837691307,6.792153358459473,1.0,0.013805798254907131,52.5421
3600,0.0019231416517868638,7.943801403045654,1.0,0.01334560476243496,52.4854
3700,0.0020250938832759857,7.235013961791992,1.0,0.013192207552492619,52.2845
3800,0.0026188225019723177,6.919278144836426,1.0,0.01365240104496479,51.9314
3900,0.002733509289100766,6.8260087966918945,1.0,0.013959196396172047,51.5447
4000,0.002674550749361515,6.819441795349121,1.0,0.014726185239851475,51.1671
4100,0.0462435819208622,7.494514465332031,0.9967776536941528,0.01334560476243496,50.9755
4200,0.0013832487165927887,7.664939880371094,1.0,0.013038809411227703,50.9441
4300,0.0022205316927284002,7.0805487632751465,1.0,0.014112593606114388,50.6632
4400,0.0025561158545315266,6.872088432312012,1.0,0.01457278709858656,50.3052
4500,0.0025924884248524904,6.817409515380859,1.0,0.014879582449793816,49.9385
4600,0.002518506022170186,6.8279266357421875,1.0,0.01457278709858656,49.5878
