step,train_acc,test_acc,f_emb_corr
1,0.01425178162753582,0.018810370936989784,0.0
500,1.0,0.0,0.0
1000,1.0,0.0010167767759412527,0.0
1500,0.989311158657074,0.0015251652803272009,0.0
2000,1.0,0.0030503305606544018,0.0
2500,1.0,0.004067107103765011,0.0
3000,1.0,0.005592272616922855,0.0
3500,1.0,0.0020335535518825054,0.0
4000,0.9988123774528503,0.0015251652803272009,0.0
4500,1.0,0.004067107103765011,0.0
5000,1.0,0.004575495608150959,0.0
5500,1.0,0.00864260271191597,0.0
6000,0.9370546340942383,0.015251652337610722,0.0
6500,1.0,0.018301982432603836,0.0
7000,1.0,0.02236909046769142,0.0
7500,1.0,0.02033553645014763,0.0
8000,1.0,0.03609557822346687,0.0
8500,1.0,0.041687849909067154,0.0
9000,1.0,0.055414337664842606,0.0
9500,1.0,0.09608540683984756,0.0
10000,1.0,0.10726995766162872,0.0
10500,1.0,0.13828164339065552,0.0
11000,1.0,0.21148957312107086,0.0
11500,1.0,0.2923233211040497,0.0
12000,1.0,0.3350279629230499,0.0
12500,1.0,0.725470244884491,0.0
13000,1.0,0.8790035843849182,0.00010235194276904391
13500,1.0,0.9079816937446594,0.000145804846902034
14000,1.0,0.9237417578697205,0.0002522111085726114
14500,1.0,0.9557701945304871,0.00029184531586674833
15000,1.0,0.9527198672294617,0.0
15500,1.0,0.9583121538162231,0.0
16000,1.0,0.9603456854820251,0.0
16500,1.0,0.9644128084182739,0.0
17000,1.0,0.9761057496070862,0.0
17500,1.0,0.9735637903213501,0.0
18000,1.0,0.9745805859565735,0.0
18500,1.0,0.9761057496070862,1.9501656671243317e-05
19000,0.9311164021492004,0.5399084687232971,0.00019699255311849545
19500,1.0,0.9771225452423096,0.0011992177161737547
20000,1.0,0.9816980361938477,0.0
20500,1.0,0.984239935874939,0.0006903104600974111
21000,1.0,0.982206404209137,0.0025244542625931024
21500,1.0,0.9827147722244263,0.004731143558220498
22000,1.0,0.9791560769081116,0.006903403437186352
22500,0.6318289637565613,0.307574987411499,0.009429148999275085
23000,1.0,0.9796644449234009,0.0126265642293815
23500,1.0,0.9766141176223755,0.016148202676629787
24000,1.0,0.980172872543335,0.019859610124328943
24500,1.0,0.9816980361938477,0.023611096974282354
25000,1.0,0.982206404209137,0.023839913581814982
25500,1.0,0.9832231998443604,0.02820101109150803
26000,1.0,0.9832231998443604,0.03225478748976713
26500,1.0,0.984748363494873,0.03628102316892929
27000,1.0,0.9872902631759644,0.040474652853023714
27500,1.0,0.9862735271453857,0.04500445778207047
28000,1.0,0.9872902631759644,0.049696313788097864
28500,1.0,0.9872902631759644,0.05443596700248971
29000,1.0,0.9857650995254517,0.05813040695427491
29500,1.0,0.9862735271453857,0.06335376648353214
30000,1.0,0.9852567315101624,0.06794736118527303
30500,1.0,0.986781895160675,0.07289847272206809
