label,task,prime,lr,wd,seed,ordering,tau_circ,tau_gen,tau_F,regime,step,saved_test_acc,K,base_acc,acc_I1_keep_fourier,acc_I2_remove_fourier,acc_I3_random_ctrl_mean,acc_I3_random_ctrl_std,frac_logit_energy_in_topK_fourier,top_k_harmonics,acc_I4_remove_emb_fourier,i2_drop,i3_random_drop_mean,i4_drop,specificity_ratio_i2_over_i3
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,pre_all,5000,0.008134214207530022,1,0.00813421453990849,0.0340620233858668,0.006100660904931368,0.011591255719369597,0.0014874162519906248,0.08696658303693937,12,0.011692933401118455,0.0020335536349771225,-0.0034570411794611067,-0.003558718861209965,-0.5882352941176473
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,pre_all,5000,0.008134214207530022,3,0.00813421453990849,0.0498220640569395,0.004575495678698526,0.011794611082867312,0.0022598994174776684,0.2062878248119015,"12,5,14",0.012201321809862735,0.0035587188612099642,-0.003660396542958822,-0.004067107269954245,-0.9722222222222219
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,pre_all,5000,0.008134214207530022,5,0.00813421453990849,0.05388917132689375,0.003050330452465684,0.01626842907981698,0.001325714774825145,0.30967482324918316,"12,5,14,6,11",0.010167768174885612,0.005083884087442807,-0.00813421453990849,-0.0020335536349771217,-0.625
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,pre_all,5000,0.008134214207530022,10,0.00813421453990849,0.044229791560752414,0.003050330452465684,0.02653787493645145,0.0028650742864474573,0.5283639718344422,"12,5,14,6,11,10,7,1,24,9",0.020335536349771224,0.005083884087442807,-0.01840366039654296,-0.012201321809862734,-0.27624309392265195
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,between_circ_gen,10000,0.11896288394927979,1,0.11896288764616167,0.08032536858159633,0.060498220640569395,0.12018301982714794,0.0030940770828069013,0.12009475561146404,12,0.01728520589730554,0.058464667005592275,-0.0012201321809862664,0.10167768174885614,-47.91666666666695
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,between_circ_gen,10000,0.11896288394927979,3,0.11896288764616167,0.5088967971530249,0.018301982714794104,0.13431621759023896,0.007845670248646843,0.3051065096094281,"12,5,1",0.02440264361972547,0.10066090493136756,-0.015353329944077287,0.0945602440264362,-6.556291390728472
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,between_circ_gen,10000,0.11896288394927979,5,0.11896288764616167,0.5114387391967463,0.007625826131164209,0.1556685307574987,0.004072187980579725,0.42783141886322523,"12,5,1,9,24",0.02338586680223691,0.11133706151499746,-0.03670564311133703,0.09557702084392476,-3.0332409972299192
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,between_circ_gen,10000,0.11896288394927979,10,0.11896288764616167,0.3355363497712252,0.0071174377224199285,0.2206405693950178,0.004886879447157262,0.6362317595141133,"12,5,1,9,24,10,14,6,25,22",0.021352313167259787,0.11184544992374174,-0.10167768174885614,0.09761057447890188,-1.0999999999999999
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,between_gen_F,18500,0.9913573861122131,1,0.9913573970513472,0.14336553126588714,0.9023894255210981,0.9887137773258768,0.0010856205645176946,0.2605511885916643,1,0.19572953736654805,0.08896797153024905,0.0026436197254703364,0.7956278596847991,33.653846153845144
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,between_gen_F,18500,0.9913573861122131,3,0.9913573970513472,0.9928825622775801,0.2730045754956787,0.9874936451448907,0.0015947521241848638,0.6667237671476595,"1,9,12",0.08286731062531774,0.7183528215556685,0.003863751906456492,0.9084900864260295,185.92105263158092
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,between_gen_F,18500,0.9913573861122131,5,0.9913573970513472,0.9969496695475343,0.02491103202846975,0.9938993390950686,0.0008506965190992363,0.9043896119182423,"1,9,12,5,24",0.029994916115912557,0.9664463650228774,-0.002541942043721379,0.9613624809354346,-380.20000000000357
