step,train_acc,test_acc,f_emb_corr
1,0.021377671509981155,0.021860701963305473,0.0
500,0.9358670115470886,0.0,0.0
1000,0.9952493906021118,0.0005083883879706264,0.0
1500,1.0,0.005083884112536907,0.0
2000,1.0,0.009659379720687866,0.0
2500,1.0,0.014743263833224773,0.0
3000,1.0,0.04067107290029526,0.0
3500,1.0,0.06609049439430237,0.0
4000,1.0,0.10371123254299164,0.0
4500,0.9584323167800903,0.058973055332899094,0.0
5000,1.0,0.3080833852291107,0.0
5500,1.0,0.435688853263855,0.0
6000,1.0,0.6044738292694092,0.0
6500,1.0,0.6573461890220642,0.0
7000,1.0,0.7976614236831665,0.0014477479904337898
7500,1.0,0.8896797299385071,0.003285247191026297
8000,1.0,0.9771225452423096,0.0049700816447592056
8500,1.0,0.9959328770637512,0.007002587843729313
9000,1.0,0.9827147722244263,0.013235381219817044
9500,1.0,1.0,0.019269003575925203
10000,1.0,0.9984748363494873,0.02397304320181217
10500,1.0,0.9994916319847107,0.03047916906202077
11000,1.0,1.0,0.037340642400478095
11500,1.0,1.0,0.043496367712949756
12000,1.0,1.0,0.049924833048357396
12500,1.0,1.0,0.056941368487738474
13000,1.0,1.0,0.06276669133897053
13500,1.0,1.0,0.07078376034946934
14000,1.0,1.0,0.07625405741244132
14500,1.0,1.0,0.08243469990388266
15000,1.0,1.0,0.08356551251004082
15500,1.0,1.0,0.08856451370926996
16000,1.0,1.0,0.09444793550085981
16500,1.0,1.0,0.10021968390520516
17000,1.0,1.0,0.10533309633126728
17500,1.0,1.0,0.11076890250646751
18000,1.0,1.0,0.11695083621453026
18500,1.0,1.0,0.123350319482008
19000,1.0,1.0,0.12802353359740035
19500,1.0,1.0,0.13556917846304414
20000,1.0,1.0,0.13319086793367693
20500,0.8907363414764404,0.7717335820198059,0.1390104982546316
21000,1.0,1.0,0.14536485908257754
21500,1.0,1.0,0.15180758383476575
22000,1.0,1.0,0.15765270716398425
22500,1.0,1.0,0.1625192276956455
23000,1.0,1.0,0.1705367572252909
23500,1.0,1.0,0.18171903612749726
24000,1.0,1.0,0.19258202406069344
24500,1.0,1.0,0.2025255689894296
25000,1.0,1.0,0.20443334790127635
25500,1.0,1.0,0.2089206369064043
26000,1.0,1.0,0.20957792707331338
26500,1.0,0.9994916319847107,0.22525299569650117
27000,1.0,1.0,0.2313486531674829
27500,1.0,1.0,0.2421382518171478
28000,1.0,1.0,0.24157427210858343
28500,1.0,1.0,0.2677084318869033
29000,1.0,1.0,0.2710310025190552
29500,1.0,1.0,0.2584595135466662
30000,0.6579572558403015,0.5851550698280334,0.25144667299504914
30500,1.0,1.0,0.2365506011788519
31000,1.0,1.0,0.22113091215226605
31500,0.8681710362434387,0.7752923369407654,0.24004501231165926
32000,1.0,1.0,0.20336821117088083
32500,1.0,0.9994916319847107,0.20310455079912887
33000,1.0,1.0,0.20361692675771065
33500,0.9940617680549622,0.9806812405586243,0.19628301745521187
34000,1.0,1.0,0.20540774754037522
34500,1.0,1.0,0.20789961161636134
35000,1.0,1.0,0.21307608878661938
35500,1.0,1.0,0.22142293375912586
36000,1.0,1.0,0.20141261560145346
36500,1.0,1.0,0.21256360878352393
37000,1.0,1.0,0.19695805331736876
37500,1.0,1.0,0.21573453646610635
38000,0.9976246953010559,0.9903405904769897,0.22404321899529217
38500,1.0,1.0,0.2020027897470476
39000,1.0,1.0,0.2030596594372756
39500,1.0,1.0,0.1964520189647379
40000,1.0,1.0,0.22070561845765477
40500,0.9964370727539062,0.984748363494873,0.19693041142894194
41000,1.0,1.0,0.18577477543143625
41500,1.0,1.0,0.1852794460035568
42000,1.0,1.0,0.20989620792441552
42500,1.0,1.0,0.20073926332170497
43000,1.0,0.9994916319847107,0.20659084747238207
