comparison,n_paired,median_diff_steps,mean_diff_steps,std_diff_steps,within_500,within_1000,within_2000,spearman_rho,spearman_p
ours_vs_restricted,60,4750,8900,9690,10,12,20,0.4210,0.0008081
ours_vs_excluded,60,2500,2100,8164,11,16,23,0.5420,7.74e-06
