operation,prime,lr,wd,seed,top_k,observed_phase,tau_train,tau_gen,tau_F,tau_circuit_ours,tau_circuit_nanda_restricted,tau_circuit_nanda_excluded,delta_restricted_vs_ours,delta_excluded_vs_ours,delta_gc_ours,delta_gc_nanda_restricted,nanda_keys_static,nanda_restricted_loss_final,nanda_excluded_loss_final,nanda_full_loss_final,max_train_acc,max_test_acc,trajectory_file,runtime_sec
add,53,0.0016,2.175,7,5,Grokking,500.0,11000.0,14000.0,8000.0,11500.0,11000.0,3500.0,3000.0,3000.0,-500.0,"18,14,3,10,1",0.10318386447707673,1.72176208355188,0.0015334764030050605,1.0,1.0,traj_lr1.600000e-03_wd2.1750_seed7.npz,651.0443663597107
add,53,0.0016,2.175,2025,5,Grokking,500.0,8500.0,23500.0,8000.0,8500.0,9000.0,500.0,1000.0,500.0,0.0,"24,5,25,15,3",0.18057524098978325,1.9449665728754548,0.008140106641443413,1.0,1.0,traj_lr1.600000e-03_wd2.1750_seed2025.npz,542.8213491439819
add,53,0.0016,2.4497,42,5,Grokking,500.0,11000.0,21500.0,8000.0,21500.0,9500.0,13500.0,1500.0,3000.0,-10500.0,"13,6,3,12,19",0.4099055830772611,1.0161534130378007,0.0020331956688973826,1.0,1.0,traj_lr1.600000e-03_wd2.4497_seed42.npz,551.9557933807373
add,53,0.0016,2.4497,7,5,Grokking,500.0,12000.0,16000.0,10500.0,14000.0,11000.0,3500.0,500.0,1500.0,-2000.0,"16,18,14,1,9",0.26836710356601007,1.516794790099371,0.0029088859934100187,1.0,1.0,traj_lr1.600000e-03_wd2.4497_seed7.npz,581.2250647544861
add,53,0.0016,2.4497,2025,5,Grokking,500.0,10000.0,15500.0,8000.0,9000.0,9000.0,1000.0,1000.0,2000.0,1000.0,"14,25,5,15,3",0.12325061626395496,1.6884143526178381,0.0023046411538687906,1.0,1.0,traj_lr1.600000e-03_wd2.4497_seed2025.npz,596.5848474502563
add,53,0.0016,2.7591,42,5,Grokking,500.0,11500.0,29000.0,8000.0,26500.0,10500.0,18500.0,2500.0,3500.0,-15000.0,"8,24,19,3,14",0.06605866877251715,2.2104718542342052,0.0022046481592617275,1.0,1.0,traj_lr1.600000e-03_wd2.7591_seed42.npz,572.2775793075562
add,53,0.0016,2.7591,7,5,Grokking,500.0,10500.0,18000.0,9000.0,13000.0,10500.0,4000.0,1500.0,1500.0,-2500.0,"16,14,9,1,11",0.1505423513621556,1.5265237514723125,0.002656962280760571,1.0,1.0,traj_lr1.600000e-03_wd2.7591_seed7.npz,598.4029245376587
add,53,0.0016,2.7591,2025,5,Grokking,500.0,10000.0,18500.0,8000.0,10000.0,10000.0,2000.0,2000.0,2000.0,0.0,"14,24,5,4,15",0.388339197938367,1.6523606428016704,0.002990040436846442,1.0,1.0,traj_lr1.600000e-03_wd2.7591_seed2025.npz,578.6543807983398
add,53,0.0016,3.1075,42,5,Grokking,500.0,12000.0,24500.0,8000.0,25000.0,12000.0,17000.0,4000.0,4000.0,-13000.0,"13,12,19,23,14",0.6536342912907899,2.7220662549205916,0.21380563678922768,1.0,1.0,traj_lr1.600000e-03_wd3.1075_seed42.npz,597.5620908737183
add,53,0.0016,3.1075,7,5,Grokking,500.0,10000.0,16500.0,8000.0,11000.0,9000.0,3000.0,1000.0,2000.0,-1000.0,"18,14,16,20,5",0.19819512738050857,1.4556116848844851,0.0035996046740167337,1.0,1.0,traj_lr1.600000e-03_wd3.1075_seed7.npz,773.418219089508
add,53,0.0016,3.1075,2025,5,Grokking,500.0,11000.0,11000.0,8000.0,8000.0,11500.0,0.0,3500.0,3000.0,3000.0,"14,25,15,2,4",0.12071892729485903,1.760318082180533,0.002345029351074711,1.0,1.0,traj_lr1.600000e-03_wd3.1075_seed2025.npz,1029.321481704712
add,53,0.0016,3.5,42,5,Grokking,500.0,12000.0,26500.0,9500.0,24500.0,12500.0,15000.0,3000.0,2500.0,-12500.0,"3,2,12,4,24",0.3638629506279931,1.2736116642562125,0.009380192901418474,1.0,1.0,traj_lr1.600000e-03_wd3.5000_seed42.npz,763.8827276229858
add,53,0.0016,3.5,7,5,Grokking,500.0,19000.0,21500.0,8000.0,21000.0,13500.0,13000.0,5500.0,11000.0,-2000.0,"14,16,22,1,12",0.12821998391067643,2.1184139844187513,0.005751860513599614,1.0,1.0,traj_lr1.600000e-03_wd3.5000_seed7.npz,665.9588921070099
add,53,0.0016,3.5,2025,5,Grokking,500.0,11000.0,20000.0,8000.0,22000.0,11000.0,14000.0,3000.0,3000.0,-11000.0,"24,14,5,3,15",0.14349000094515044,1.811344534071998,0.004244623700010584,1.0,1.0,traj_lr1.600000e-03_wd3.5000_seed2025.npz,594.8964605331421
add,53,0.0005,2.5,42,5,Grokking,500.0,52000.0,54000.0,32500.0,34500.0,50000.0,2000.0,17500.0,19500.0,17500.0,"6,15,4,14,12",0.12731754411836016,0.5770759235322631,0.00018234652799800196,1.0,1.0,traj_lr5.000000e-04_wd2.5000_seed42.npz,899.0570867061615
add,53,0.0005,2.5,7,5,Grokking,500.0,54500.0,57000.0,36500.0,47500.0,29500.0,11000.0,-7000.0,18000.0,7000.0,"25,1,2,9,24",0.03689750041411154,2.0478181892698615,0.0005765458786119739,1.0,1.0,traj_lr5.000000e-04_wd2.5000_seed7.npz,840.0094964504242
add,53,0.0005,2.5,2025,5,Grokking,500.0,39500.0,42000.0,24500.0,28500.0,28500.0,4000.0,4000.0,15000.0,11000.0,"24,8,13,5,15",0.3944633599112113,0.37868320296719027,0.000594293795068738,1.0,1.0,traj_lr5.000000e-04_wd2.5000_seed2025.npz,715.638129234314
add,53,0.00068,2.5,42,5,Grokking,500.0,31000.0,39000.0,14500.0,37500.0,10000.0,23000.0,-4500.0,16500.0,-6500.0,"1,7,3,21,5",0.1637178087242414,0.7811340054174285,0.0006118319843028084,1.0,1.0,traj_lr6.800000e-04_wd2.5000_seed42.npz,519.8104951381683
add,53,0.00068,2.5,7,5,Grokking,500.0,38500.0,42000.0,25500.0,40000.0,25000.0,14500.0,-500.0,13000.0,-1500.0,"19,14,1,9,17",0.05460459505697389,1.838076798711833,0.000899295870423558,1.0,1.0,traj_lr6.800000e-04_wd2.5000_seed7.npz,514.6904106140137
add,53,0.00068,2.5,2025,5,Grokking,500.0,32500.0,40500.0,13000.0,38000.0,13500.0,25000.0,500.0,19500.0,-5500.0,"14,5,3,15,6",0.16388182448274274,1.0846592823428036,0.0006881712357891248,1.0,1.0,traj_lr6.800000e-04_wd2.5000_seed2025.npz,510.8489909172058
