operation,prime,lr,wd,seed,observed_phase,tau_gen,tau_F,delta,ordering,max_train_acc,max_test_acc,max_steps_used,runtime_sec
add,53,0.001024,2.0494,7,Grokking,27000.0,30000.0,3000.0,G<F,1.0,1.0,50000,829.443728685379
add,53,0.001024,2.0494,2025,Grokking,23000.0,34500.0,11500.0,G<F,1.0,1.0,50000,829.5510468482971
add,53,0.001024,2.4497,42,Grokking,21000.0,36500.0,15500.0,G<F,1.0,1.0,50000,833.2555742263794
add,53,0.001024,2.4497,7,Grokking,26000.0,27500.0,1500.0,G<F,1.0,1.0,50000,833.8241438865662
add,53,0.001024,2.4497,2025,Grokking,25000.0,38000.0,13000.0,G<F,1.0,1.0,50000,828.1103181838989
add,53,0.001024,2.9281,42,Grokking,19500.0,29000.0,9500.0,G<F,1.0,1.0,50000,828.5565023422241
add,53,0.001024,2.9281,7,Grokking,27500.0,34000.0,6500.0,G<F,1.0,1.0,50000,833.702752828598
add,53,0.001024,2.9281,2025,Grokking,14500.0,21000.0,6500.0,G<F,1.0,1.0,50000,832.4189755916595
add,53,0.001024,3.5,42,Grokking,19000.0,29000.0,10000.0,G<F,1.0,1.0,50000,824.0576224327087
add,53,0.001024,3.5,7,Grokking,23500.0,27000.0,3500.0,G<F,1.0,1.0,50000,823.7545425891876
add,53,0.001024,3.5,2025,Grokking,13500.0,23500.0,10000.0,G<F,1.0,1.0,50000,840.768129825592
add,53,0.001466,1.2,42,Grokking,19000.0,34000.0,15000.0,G<F,1.0,0.9974580407142639,50000,833.4973566532135
add,53,0.001466,1.2,7,Grokking,23500.0,27000.0,3500.0,G<F,1.0,1.0,50000,827.903151512146
add,53,0.001466,1.2,2025,Grokking,46000.0,42000.0,-4000.0,F<G,1.0,0.9364514350891113,50000,829.3866899013519
add,53,0.001466,1.4344,42,Grokking,19500.0,25500.0,6000.0,G<F,1.0,1.0,50000,830.2286384105682
add,53,0.001466,1.4344,7,Grokking,23000.0,28000.0,5000.0,G<F,1.0,1.0,50000,832.0862491130829
add,53,0.001466,1.4344,2025,Grokking,15000.0,21000.0,6000.0,G<F,1.0,1.0,50000,828.6221222877502
add,53,0.001466,1.7145,42,Grokking,17500.0,33000.0,15500.0,G<F,1.0,1.0,50000,829.9449412822723
add,53,0.001466,1.7145,7,Grokking,13500.0,25000.0,11500.0,G<F,1.0,1.0,50000,827.9244875907898
add,53,0.001466,1.7145,2025,Grokking,12000.0,22000.0,10000.0,G<F,1.0,1.0,50000,832.1589374542236
add,53,0.001466,2.0494,42,Grokking,16500.0,32000.0,15500.0,G<F,1.0,1.0,50000,832.1414890289307
add,53,0.001466,2.0494,7,Grokking,19000.0,25000.0,6000.0,G<F,1.0,1.0,50000,831.1975932121277
add,53,0.001466,2.0494,2025,Grokking,19000.0,25000.0,6000.0,G<F,1.0,1.0,50000,829.4872422218323
add,53,0.001466,2.4497,42,Grokking,15500.0,30000.0,14500.0,G<F,1.0,1.0,50000,830.9097685813904
add,53,0.001466,2.4497,7,Grokking,12500.0,16500.0,4000.0,G<F,1.0,1.0,50000,831.5689418315887
add,53,0.001466,2.4497,2025,Grokking,16000.0,19000.0,3000.0,G<F,1.0,1.0,50000,831.391480922699
add,53,0.001466,2.9281,42,Grokking,11500.0,16500.0,5000.0,G<F,1.0,1.0,50000,827.3700273036957
add,53,0.001466,2.9281,7,Grokking,16500.0,27500.0,11000.0,G<F,1.0,1.0,50000,829.1426377296448
add,53,0.001466,2.9281,2025,Grokking,9500.0,16500.0,7000.0,G<F,1.0,1.0,50000,830.9171411991119
add,53,0.001466,3.5,42,Grokking,17500.0,20500.0,3000.0,G<F,1.0,1.0,50000,830.4897565841675
add,53,0.001466,3.5,7,Grokking,15500.0,25500.0,10000.0,G<F,1.0,1.0,50000,829.6914255619049
add,53,0.001466,3.5,2025,Grokking,10500.0,21000.0,10500.0,G<F,1.0,1.0,50000,828.2904295921326
add,53,0.002099,1.2,42,Grokking,21500.0,29500.0,8000.0,G<F,1.0,1.0,50000,826.2197873592377
add,53,0.002099,1.2,7,Grokking,19000.0,24000.0,5000.0,G<F,1.0,1.0,50000,829.5633208751678
add,53,0.002099,1.2,2025,Grokking,19000.0,22500.0,3500.0,G<F,1.0,1.0,50000,828.9662752151489
add,53,0.002099,1.4344,42,Grokking,15500.0,20000.0,4500.0,G<F,1.0,1.0,50000,828.7330305576324
add,53,0.002099,1.4344,7,Grokking,13000.0,23000.0,10000.0,G<F,1.0,1.0,50000,829.8781306743622
add,53,0.002099,1.4344,2025,Grokking,22500.0,29000.0,6500.0,G<F,1.0,1.0,50000,831.4532482624054
add,53,0.002099,1.7145,42,Grokking,11000.0,18000.0,7000.0,G<F,1.0,1.0,50000,832.7912306785583
add,53,0.002099,1.7145,7,Grokking,18500.0,21000.0,2500.0,G<F,1.0,1.0,50000,832.1739990711212
