label,task,prime,lr,wd,seed,ordering,tau_circ,tau_gen,tau_F,regime,step,saved_test_acc,site,K,ctrl_mode,top_harmonics,base_acc,acc_ablate_fourier,acc_random_ctrl_mean,acc_random_ctrl_std,frac_energy_removed
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,post_all,30000,1.0,attn_L1,3,dim,"1,12,24",1.0,0.2440264361972547,0.7902389425521099,0.005462277994331803,0.859201244471777
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,post_all,30000,1.0,mlp_L1,3,dim,"24,9,5",1.0,0.38993390950686324,0.9977630910015252,0.0009429200300453227,0.6142775334306011
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,post_all,30000,1.0,resid_final,3,dim,"1,9,12",1.0,0.7595322826639552,0.9993899339095069,0.0007471753155413987,0.5084072091415384
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,pre_all,4000,0.0289781391620636,embed,3,dim,"25,1,5",0.028978139298423997,0.03762074224707677,0.020030503304524657,0.004010794697166451,0.13087690764797363
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,pre_all,4000,0.0289781391620636,attn_L0,3,dim,"4,22,5",0.028978139298423997,0.026436197254702594,0.02257244534824606,0.0021949194860114794,0.24942426486047617
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,pre_all,4000,0.0289781391620636,mlp_L0,3,dim,"23,25,12",0.028978139298423997,0.007625826131164209,0.006914082358922216,0.0007608860979713149,0.1612350272164909
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,pre_all,4000,0.0289781391620636,attn_L1,3,dim,"15,22,4",0.028978139298423997,0.010676156583629894,0.02094560244026436,0.0031405074146376205,0.3280640689375177
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,pre_all,4000,0.0289781391620636,mlp_L1,3,dim,"15,4,22",0.028978139298423997,0.005083884087442806,0.025114387391967464,0.0019976494869739197,0.2766470231633083
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,pre_all,4000,0.0289781391620636,resid_final,3,dim,"15,4,22",0.028978139298423997,0.004067107269954245,0.04250127097102187,0.003919539454478166,0.3052117098231981
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_circ_gen,9000,0.6232841610908508,embed,3,dim,"25,1,5",0.6232841891204881,0.22114895780376206,0.0655821047280122,0.006486685473405828,0.14452980666364496
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_circ_gen,9000,0.6232841610908508,attn_L0,3,dim,"5,22,25",0.6232841891204881,0.5083884087442806,0.5407219115404168,0.00820129937166276,0.27917195998214944
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_circ_gen,9000,0.6232841610908508,mlp_L0,3,dim,"25,1,18",0.6232841891204881,0.020843924758515507,0.0183019827147941,0.001701393038198425,0.16462715032919786
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_circ_gen,9000,0.6232841610908508,attn_L1,3,dim,"15,5,4",0.6232841891204881,0.03965429588205389,0.37824097610574475,0.01212055969105081,0.5006133596039823
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_circ_gen,9000,0.6232841610908508,mlp_L1,3,dim,"4,15,22",0.6232841891204881,0.044738179969496694,0.3682765632943569,0.006189824608123814,0.4351322237551121
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_circ_gen,9000,0.6232841610908508,resid_final,3,dim,"5,15,4",0.6232841891204881,0.06456532791052363,0.5924758515505847,0.005249956540284906,0.4407264661614572
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_gen_F,14500,0.9938993453979492,embed,3,dim,"25,14,1",0.9938993390950687,0.8291814946619217,0.34072191154041687,0.0034838518960878142,0.22298935826190502
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_gen_F,14500,0.9938993453979492,attn_L0,3,dim,"25,14,17",0.9938993390950687,0.9064565327910523,0.992170818505338,0.0006896115895399345,0.7713826157594563
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_gen_F,14500,0.9938993453979492,mlp_L0,3,dim,"25,14,1",0.9938993390950687,0.06659888154550077,0.09822064056939502,0.0054698434799441845,0.23338084413774973
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_gen_F,14500,0.9938993453979492,attn_L1,3,dim,"2,22,4",0.9938993390950687,0.22979156075241486,0.898932384341637,0.010275987386373258,0.6766912154984963
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_gen_F,14500,0.9938993453979492,mlp_L1,3,dim,"4,15,22",0.9938993390950687,0.47127605490594815,0.9875953228266395,0.001749328981605018,0.5889332239511142
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_gen_F,14500,0.9938993453979492,resid_final,3,dim,"25,15,4",0.9938993390950687,0.6893746822572445,0.9880020335536349,0.002503006329454213,0.5105774352796083
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,post_all,22500,1.0,embed,3,dim,"25,14,2",1.0,0.7000508388408744,0.3779359430604982,0.010715303347381985,0.42232254211715387
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,post_all,22500,1.0,attn_L0,3,dim,"25,14,3",1.0,0.7737671581087952,1.0,0.0,0.9829860747870893
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,post_all,22500,1.0,mlp_L0,3,dim,"14,25,11",1.0,0.07930859176410777,0.3485510930350788,0.00530870461909776,0.39772221854535755
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,post_all,22500,1.0,attn_L1,3,dim,"2,15,5",1.0,0.17793594306049823,0.8945602440264363,0.005471733216908471,0.8301081201253637
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,post_all,22500,1.0,mlp_L1,3,dim,"4,22,5",1.0,0.7086934417895272,0.9991865785460092,0.0006896115895399541,0.5613940722846734
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,post_all,22500,1.0,resid_final,3,dim,"25,14,22",1.0,0.9572953736654805,0.9991865785460092,0.0002490584385138257,0.5853684078235941
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,pre_all,16000,0.026436196640133858,embed,3,dim,"26,9,24",0.026436197254702594,0.018810371123538384,0.015353329944077274,0.0028469750889679704,0.13874068496333195
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,pre_all,16000,0.026436196640133858,attn_L0,3,dim,"25,24,7",0.026436197254702594,0.014743263853584139,0.01464158617183528,0.0022826582939139456,0.2280147073142422
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,pre_all,16000,0.026436196640133858,mlp_L0,3,dim,"26,9,11",0.026436197254702594,0.012709710218607015,0.01047280122013218,0.0013100252899568,0.1482170896515183
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,pre_all,16000,0.026436196640133858,attn_L1,3,dim,"14,23,5",0.026436197254702594,0.007625826131164209,0.011082867310625317,0.0024988725424391475,0.19220257223145684
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,pre_all,16000,0.026436196640133858,mlp_L1,3,dim,"7,5,14",0.026436197254702594,0.021352313167259787,0.016878495170310114,0.001992467508110363,0.1594308009667112
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,pre_all,16000,0.026436196640133858,resid_final,3,dim,"7,3,25",0.026436197254702594,0.02541942043721403,0.021352313167259784,0.002511253489624497,0.2729999178668199
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_circ_F,37000,0.10574478656053543,embed,3,dim,"25,7,24",0.10574478901881038,0.04880528723945094,0.02379257752923233,0.00357176778246066,0.15707640578940665
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_circ_F,37000,0.10574478656053543,attn_L0,3,dim,"3,24,7",0.10574478901881038,0.06354855109303507,0.055922724961870875,0.0053610274840728295,0.20777862755844712
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_circ_F,37000,0.10574478656053543,mlp_L0,3,dim,"16,18,8",0.10574478901881038,0.018301982714794104,0.016878495170310114,0.001966352781475721,0.16982238861611468
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_circ_F,37000,0.10574478656053543,attn_L1,3,dim,"5,7,23",0.10574478901881038,0.02541942043721403,0.06304016268429079,0.006873591776779081,0.27074214026589294
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_circ_F,37000,0.10574478656053543,mlp_L1,3,dim,"7,5,12",0.10574478901881038,0.06253177427554651,0.08398576512455516,0.004471506543425726,0.2965717091293343
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_circ_F,37000,0.10574478656053543,resid_final,3,dim,"7,12,5",0.10574478901881038,0.05287239450940519,0.09954245043213014,0.003796269385377623,0.45817472053754726
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_F_gen,43000,0.22318251430988312,embed,3,dim,"7,3,25",0.22318251143873918,0.11184544992374174,0.026334519572953734,0.0011322347458729072,0.17261248809373309
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_F_gen,43000,0.22318251430988312,attn_L0,3,dim,"3,7,25",0.22318251143873918,0.14743263853584138,0.11479410269445856,0.006328567898157777,0.204351693985557
